TAB_NAME,TAB_SCHEMA,OBJ_TYPE,OWNER,OWNER_TYPE,TABLESPACE,INDEX_TABLESPACE,LONG_TABLESPACE,TABLE_ORG,DROP_RULE,VOLATILE,ROW_COMP_MODE,PAGES_SAVED,COMPRESSION,DISTRIBUTION_TYPE,PARTITION_MODE,AVG_ROW_SIZE,STATUS,APPEND_MODE,ROW_COUNT,CREATE_TIME,LAST_USED,ALTER_TIME,STATS_TIME,PCTFREE,DATA_CAPTURE,LOCK_SIZE,LOGGED,REMARKS,PRIMARY_KEY,FOREIGN_KEY,TEMPORAL_TYPE
EXCEL,DMC07791,TABLE,DMC07791,USER,DMC07791SPACE1,,,R,NO, ,NONE,'-1,No compression is enabled, ,NO DATABASE PARTITIONING,'-1,NORMAL,OFF,'-1,2022-10-16 07:27:00:491557,0001-01-01,2022-10-16 07:27:00:491557,,'-1,NONE,ROW,NO,,,,NO
TABLE1,DMC07791,TABLE,DMC07791,USER,DMC07791SPACE1,,,R,NO, ,NONE,'-1,No compression is enabled, ,NO DATABASE PARTITIONING,'-1,NORMAL,OFF,'-1,2022-10-16 07:03:30:462796,16-10-2022,2022-10-16 07:03:30:462796,,'-1,NONE,ROW,NO,,,,NO
TABLE2,DMC07791,TABLE,DMC07791,USER,DMC07791SPACE1,,,R,NO, ,NONE,'-1,No compression is enabled, ,NO DATABASE PARTITIONING,'-1,NORMAL,OFF,'-1,2022-10-16 07:05:05:750909,16-10-2022,2022-10-16 07:05:05:750909,,'-1,NONE,ROW,NO,,,,NO
TABLE3,DMC07791,TABLE,DMC07791,USER,DMC07791SPACE1,,,R,NO, ,NONE,'-1,No compression is enabled, ,NO DATABASE PARTITIONING,'-1,NORMAL,OFF,'-1,2022-10-16 07:06:44:498662,16-10-2022,2022-10-16 07:06:44:498662,,'-1,NONE,ROW,NO,,,,NO
TABLE4,DMC07791,TABLE,DMC07791,USER,DMC07791SPACE1,,,R,NO, ,NONE,'-1,No compression is enabled, ,NO DATABASE PARTITIONING,'-1,NORMAL,OFF,'-1,2022-10-16 07:08:55:123082,16-10-2022,2022-10-16 07:08:55:123082,,'-1,NONE,ROW,NO,,,,NO
TEST,DMC07791,TABLE,DMC07791,USER,DMC07791SPACE1,,,R,NO, ,NONE,'-1,No compression is enabled, ,NO DATABASE PARTITIONING,'-1,NORMAL,OFF,'-1,2022-10-16 07:01:30:328006,16-10-2022,2022-10-16 07:01:30:328006,,'-1,NONE,ROW,NO,,,,NO
